id,submission_id,disputed_by,resolved_by,created_at,resolved_at,status,reason,resolution_notes,attachment_url
11,62,20,null,11/10/2025 1:23:12 PM,11/11/2025 7:43:34 PM,REJECTED,I got to somebody and left the message that we were supposed to leave.,"The score remains unchanged following the review. It looks like contact MCB OEP Owner LLC is set as the billing contact and this was the final call before shut off. Agent did not use the correct scrip and should have used the voicemail script on KB page Call Script: Invoice Confirmed- Final - http://know.crm.dm-us.com/books/job-billing-customer-service/page/call-script-invoice-confirmed-final. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
12,67,23,null,11/10/2025 3:12:25 PM,11/11/2025 7:06:10 PM,ADJUSTED,"Was the support interaction documented? Yes it was there a ticket with notes Ticket# 265778
Was the ticket resolution set properly? Cx called for SXM cred provided sxm cred and closed ticket with resolution Provided Correct Credentials

Was the radio type accurately selected in the ticket?
Was an accurate device ID / username entered?

 When providing creds and  Classification Account Questions is chosen it does not given the option to select radio type or RID 
","The score was adjusted for accurate classification/subclassification, resolution, radio type, and device ID selection.

However, documentation was incomplete. The customer originally called about the channel guide, but this was not documented, nor was the action of sending the guide noted.

Please note, we now have a new sub-call category for these types of inquiries: “Music Content Questions.”

The original score was 76.47%, and the score has been updated accordingly.",/uploads/disputes/attachment-1762787545000-104264592.jpg
13,61,21,null,11/10/2025 4:43:00 PM,11/10/2025 8:32:36 PM,REJECTED,"Was the agent articulate, patient, polite, and professional in tone?

I would like to review this to see if it needs adjusting. ","The score remains unchanged following the call review. The agent should read the script without pauses per the policy outlined in the KB page Methods for Making Contact - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
14,35,21,null,11/10/2025 4:46:04 PM,11/10/2025 8:42:46 PM,REJECTED,"Was the task notes field completed properly?	 

I would like to review this to see what was missed.","The score remains unchanged following the review. The agent should document each contact (billing, customer, site, google) called per the policy outlined in the KB page How to Document Methods for Making Contact - http://know.crm.dm-us.com/books/job-billing-customer-service/page/how-to-document-methods-for-making-contact. Example: ""Called the customer contact at XXX-XXX-XXXX, and the result was ______________.""As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
15,69,12,null,11/10/2025 4:57:06 PM,11/10/2025 9:32:49 PM,ADJUSTED,"Was empathy with customer’s situation demonstrated? I disagree with this score of NO. I can show EMPATHY without using the words ""I'm sorry"" and I would argue that I was empathetic and help resolve the issue. I also made sure the client was happy at the end of the call.

As well, please provide me with a better subclass and resolution than what was chosen. I believe the one I chose was the closest and most workable fit","The score was adjusted for correct classification and subclassification.
Regarding empathy, the customer expressed confusion and concern about the channel change. While the agent provided information, empathy was not demonstrated—responses such as “Ahh yeah” and “yep” did not acknowledge the customer’s frustration. While the agent’s tone was understanding — which is important — tone alone may not be sufficient, as customers may not always perceive intent. It’s essential to pair tone with empathetic wording to ensure the message is received as intended per Requirements for Building Customer Rapport to ensure the customer feels heard - http://know.crm.dm-us.com/books/phone-etiquette-tickets-and-tasks/page/requirements-for-building-customer-rapport. The original score was 84.12% . Score has been updated
",null
16,72,20,null,11/10/2025 7:05:38 PM,11/11/2025 3:47:05 AM,ADJUSTED,I am always professional. I'm just very very sick today so I can't control my voice.,"The score was adjusted for Professionalism / Rapport Feedback. Upon review, the agent did not read the script exactly as written in the KB, adding or changing a few words and slightly reordering them. This variation is not outside of policy, as the agent conveyed the same message while adding a bit of personalization. The original score was 96.00%. Score has been updated.",null
17,79,12,null,11/10/2025 9:01:09 PM,11/12/2025 5:23:57 PM,REJECTED,"Less of a dispute, more of a question

Am I supposed to put all radios for these kinds of issues?

Because the client said that it did not affect one specific radio as he was logging in to his scheduling portal",Yes all affected sites should be selected in the ticket.,null
18,86,19,null,11/11/2025 8:10:05 PM,11/13/2025 1:41:33 AM,ADJUSTED,"I am disputing this corrective action because the ticket was incorrectly marked as duplicate. I did not select that status, and it makes no logical sense that I would have — I still had pending actions, including creating a detailed spreadsheet with site, radio, and rate information, verifying billing details, and following up with the customer as I noted in my comments.

If I knew I had to follow up, there’s no reason I would close the task, and certainly not mark it as a duplicate or “opened in error.” Those are not statuses you would accidentally select. The ticket may have defaulted or closed prematurely, but that was not my action. My notes clearly show I intended to continue working the ticket and follow up with the customer. I also want to note that I did not appreciate the wording used in the feedback ","The score was adjusted for contact assignment as the CSR did assign a new billing contact and CSR complete CRM actions in a prompt timeframe- call was received during late shift Nov 10th, but the Agent needed assistance completing the customers request and reached out to the manager for assistance on Nov 11th at 11:57am. Customer called in to update the billing contact information to an in house contact instead of the existing outsourced company – there are no notes in the tickets for this. The agent should document every action and result per the KB page Ticket Handling - ""Do's and Don'ts"" - http://know.crm.dm-us.com/books/job-billing-customer-service/page/ticket-handling-dos-and-donts. An audit was complete to confirm the agent closed the ticket but since the agent reached out for assistance, this may have been done by mistake. The original score was 61.73%. Score has been updated",null
19,65,19,null,11/11/2025 8:16:08 PM,11/12/2025 4:20:00 PM,REJECTED,what about my notes that were not filled out properly and what made my score a  92%??,"The score remains unchanged following the review. The agent should document the next steps to be taken in the process if that ticket interaction does not end in a resolution per the KB page Ticket Handling - ""Do's and Don'ts"" - http://know.crm.dm-us.com/books/job-billing-customer-service/page/ticket-handling-dos-and-donts. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
20,85,22,null,11/11/2025 8:53:19 PM,11/13/2025 5:07:00 PM,ADJUSTED,"Did the agent use the CRM and Knowledge Base correctly?	No/
there was no need for knowledge base during this interaction 

Wrap-Up Process	10%	10%	0.40/ i feel like i completely went over everything at the end of the call and documented the customer correctly, unsure as to why this is the score for wrap up ","I adjusted the score regarding “Did the agent use the CRM and Knowledge Base correctly,” as a KB update is needed to provide clarity. The original score was 90.93%. Score has been updated.",null
21,102,12,null,11/12/2025 5:50:42 PM,11/13/2025 1:57:42 AM,ADJUSTED,"Was noted that I did not follow KB script for 5 year warranty

This is because the current script is just talking about how to fill out the forms, however with Heartland Dental, we have the exception that they do not need to fill out these forms. So I went over their process specifically to properly assist the customer.",The score was adjusted for Did the agent follow the approved scripting throughout the call. Heartland Dental is a VIP customer that is not required to complete the warranty form and the agent did improvise but hit all other important marks in the script to accommodate this account exception. The original score was 95.87%. Score has been updated,null
22,105,20,null,11/12/2025 7:10:58 PM,11/13/2025 2:17:03 AM,REJECTED,I can't really even dispute this because the wrong ticket was entered. I would like to be given the correct ticket number to find out what happened.,"Expiring Credit Card Task: https://crm.dm-us.com/TaskManager/ExpiringCreditCardManager?TaskID=1030341
The score remains unchanged following the review.
On November 11th, the agent’s notes indicate that a voicemail was left; however, the call log shows the call ended after 11 seconds, before a message could have been left. This results in false documentation.
As a result, required call procedures were not fully followed, and the audit score remains as originally assessed.
",null
23,114,13,null,11/13/2025 1:40:33 PM,11/13/2025 5:42:09 PM,REJECTED,"Was the greeting script followed?	No	0.0	1.0

I did the greeting script properly.","The score remains unchanged following the review. The agent did not confirm the caller's name, per the requirements of the KB page Inbound Call Script - http://know.crm.dm-us.com/books/general-support-instructions/page/inbound-call-script. As a result, required call processes were not fully followed, and the audit score remains as originally assessed",null
24,125,12,null,11/13/2025 4:58:02 PM,11/13/2025 6:50:21 PM,REJECTED,"For not giving the transfer information to the client, I dont know where to find this in the new Genesis. Can I please be provided training on where I can get this, or be provided with information?","Transfer extensions can be found on the “Call Transfer: Important Numbers” page in KB: http://know.crm.dm-us.com/books/phone-etiquette-tickets-and-tasks/page/call-transfer-important-numbers
The score remains unchanged following the review. The agent did not use to scripting provided on KB page Requirements of a Call Transfer - http://know.crm.dm-us.com/books/phone-etiquette-tickets-and-tasks/page/requirements-of-a-call-transfer. As a result, required call processes were not fully followed, and the audit score remains as originally assessed
",null
25,128,22,null,11/13/2025 6:30:15 PM,11/17/2025 2:33:16 PM,REJECTED,"Initial Greeting / Customer Verification	5%	5%	0.15	0.20	75.0%
CRM / Knowledge Base	10%	10%	0.20	0.30	66.7%
Did the agent restate the caller’s need before beginning the support interaction? no 
upon reading the transcript provided with this call documentation i do not agree with the above scores for this interaction. i did everything correctly with this customer. and again getting doc'd for knowledge base when kb was not needed 
my greeting script and verification was done 100 % correct
","The score remains unchanged following the review. The agent should have restated the customer's need once she learned why the customer called in per the Inbound Call Script KB page - http://know.crm.dm-us.com/books/general-support-instructions/page/inbound-call-script, and the agent did advise of the customer portal when she learned the customer's concern was making sure the credit card on file was updated per the How to Add a New Billing Group KB page - http://know.crm.dm-us.com/books/job-billing-customer-service/page/how-to-add-a-new-billing-group. As a result, required call processes were not fully followed, and the audit score remains as originally assessed",null
26,138,20,null,11/14/2025 2:26:26 PM,11/17/2025 4:41:49 PM,REJECTED,The notes state that the google number cannot be used because there are no options beyond being able to get assistance as a patient. I am unable to use the google number at all. My notes say this.,"The score remains unchanged following the review. The agent should have called the google number, selected an option, and used the google script to try  to reach the right payment contact as part of the proven call campaign structure per the requirements of the KB page  Methods for Making Contact - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact. Even if a number seems like it may lead to a patient's only line a call still needs to be placed. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
27,144,23,null,11/14/2025 5:09:18 PM,11/17/2025 5:31:23 PM,REJECTED,"Was the greeting script followed?

Agent: thank you for calling dynamic media my name is mark may i please have your account number or your business name
Customer: hi mark prime iv bluebell
Agent: the prime iv blue bell
Customer: that is correct yes
Agent: okay
Agent: what state is their business in please
Customer: pennsylvania
Agent: thank you bear with me one moment while i locate your account
Agent: alright and has anyone from your company already spoken with us about the issue that you're calling about
Customer: yes so i actually think i spoke with you last week mark about this issue
Agent: okay let's see if we have an open ticket


Were the customer's needs restated?
On going ticket I help the cus timer with 
","The score remains unchanged following the review. The agent did not verify the caller's name and also did not restate the caller’s need per the requirements of the KB page Inbound Call Script - http://know.crm.dm-us.com/books/general-support-instructions/page/inbound-call-script. The agent did not take actions to build rapport with a customer such as using the customer’s name per the requirements of the KB page Customer Phone Call Requirements - http://know.crm.dm-us.com/books/phone-etiquette-tickets-and-tasks/page/customer-phone-call-requirements. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
28,123,23,null,11/14/2025 5:36:24 PM,11/17/2025 3:49:32 PM,ADJUSTED,"Was the classification / subclassification set accurately?
Sub Classification: Music Content Questions - Soundtrack
Was the ticket resolution set properly?
Answered Music Content Questions

New class created for SYB invite 

",I adjusted the score regarding the Classification / Subclassification and Resolution set accurately. New Sub–Class added. The original score was 91.88%. Score has been updated.,null
29,155,12,null,11/17/2025 1:45:30 PM,11/17/2025 5:55:26 PM,REJECTED,Hey I am confused on what I missed to do on CRM? Trevor is not a contact in CRM and Kathy was properly added. I went through all proper steps to adding them and recording the call. I am very confused on what I missed??,"The score remains unchanged following the review. The agent should have restated the customer's need once she learned why the customer called in per the Inbound Call Script KB page - http://know.crm.dm-us.com/books/general-support-instructions/page/inbound-call-script, and the agent did not put the Device ID in the ticket. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
30,157,20,null,11/17/2025 4:15:54 PM,11/17/2025 7:19:10 PM,ADJUSTED,"When it comes to these hospitals, you have to try extensions. It's very difficult to actually get a person. Leaving a voicemail where you can is tantamount to success. Accounts Payable is the EXACT person I need to be leaving a message for if I cannot reach the main on the account or anybody in general. I should not continue to be getting dinged for attempting to reach SOMEBODY when the automated menu does not provide the options to find that exact person.",The score was adjusted regarding Did the agent attempt to leave a voicemail/message with the main account contact. Reviewed and an update will be made to KB page How to Document Methods for Making Contact to be more specific. The original score was 82.30%. Score has been updated,null
31,141,19,null,11/17/2025 4:31:27 PM,11/17/2025 5:07:20 PM,ADJUSTED,"I am disputing this because the QA result does not show when or where the issues occurred. Without timestamps or specific examples from the call, I cannot verify or learn from the feedback. Please provide clarity on what part of the call triggered the deduction.",I adjusted the score regarding Was the support interaction documented and Was the interaction documented in the proper CRM area (Task / Ticket) as the interaction was documented. The voicemail left was read too fast making it hard to understand. The original score was 74.55%. Score has been updated.,null
32,152,19,null,11/17/2025 4:31:42 PM,11/17/2025 6:51:54 PM,ADJUSTED,"I am disputing this because the QA result does not show when or where the issues occurred. Without timestamps or specific examples from the call, I cannot verify or learn from the feedback. Please provide clarity on what part of the call triggered the deduction.","I was unable to locate a call for this interaction, I seems the CSR copied and pasted the previous notes but did not actually make the call. The call ID referenced does not match task. Call notes not completed properly and the notes state  LVM but no call was made. The original score was 81.76%. Score has been updated",null
33,160,19,null,11/17/2025 4:31:54 PM,11/17/2025 7:33:02 PM,REJECTED,"I am disputing this because the QA result does not show when or where the issues occurred. Without timestamps or specific examples from the call, I cannot verify or learn from the feedback. Please provide clarity on what part of the call triggered the deduction.","The score remains unchanged following the review. When calling the google contact the agent is having a full conversation with someone else in person and not paying attention to what the automated system is saying and disconnected the call instead of choosing an option to reach someone. This goes against two scenarios on the Methods for Making Contact KB page “Automated phone system routing” and “Google research” -  http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
34,149,21,null,11/17/2025 5:15:35 PM,11/17/2025 9:09:33 PM,ADJUSTED,"I would like to review this score due being docked for ticket/task documentation, using the script, professionalism, leaving voicemail with google contact and missed method of contact.",The score was adjusted regarding Does policy require trying to find an alternate phone number by googling the site name(s) and line 1 of the site address(es) as methods is not required for Expiring CC Campaign until touch #6. It seems the agent called an unnecessary number and failed to use the script on KB page Call Script: Expiring Credit Card - http://know.crm.dm-us.com/books/job-billing-customer-service/page/call-script-expiring-credit-card. Adjustment made for Was the task next contact date set properly as the correct date was set. The original score was 62.03%. Score has been updated.,null
35,116,21,null,11/17/2025 5:19:41 PM,11/17/2025 8:33:29 PM,REJECTED,I would like to review this score due to being docked for leaving a voicemail/message with every site contact (methods of contact) and ticket/task documentation. ,"The score remains unchanged following the review. No site contacts were called and there are no notes on why the site contacts were not called. The Google script was not used for site 004, and no Google research was done for site 0017. The agent can reference two KB pages to review policies outline for Methods for Making Contact - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact and How to Document Methods for Making Contact - http://know.crm.dm-us.com/books/job-billing-customer-service/page/how-to-document-methods-for-making-contact. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
36,113,21,null,11/17/2025 5:37:49 PM,11/17/2025 8:20:42 PM,ADJUSTED,"I would like to review this score due to being docked for methods of contacts, ticket/task documentation, leaving voicemail/message with every site contact and proper script being used. ","
This one is strange because the when the CRS began to call on this task on 9/11/2025 it seems POC John Serafin was set as the billing contact and POC Accounts Payable was set as the Customer contact, but at some point during the campaign the billing and customer contact was updated to Fritz Jacobson but the agent continued to call the old billing and customer contact John Serafin at (914) 306-6440. There are no notes in CRM to document when this update was made. The score was adjusted regarding the agent attempt to leave a voicemail/message with the ticket/task contact and main contact– the Call to (914) 306-6440 appears in call log and I called the billing contact number and it in fact rang busy. Site contact number was not called 1 (914) 306-9440. The original score was 69.00%. Score has been updated.
",null
37,161,16,null,11/18/2025 1:31:24 PM,11/18/2025 6:20:07 PM,REJECTED,"Not sure where I went wrong with the ticket/task documentation, was sure that I documented everything correctly.","The score remains unchanged following the review. It looks like the task was behind by 1 touch and the next step note should have been “Next follow up 11/14 for Invoice Generated #3” so two touches could be completed on the same day to catch this task up with the rest of the campaign. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
38,175,22,null,11/18/2025 4:15:24 PM,11/19/2025 6:26:26 PM,REJECTED,i would just like for this call to be listened to and re evaluated ,"The score remains unchanged. The agent did not provide a valid basis for the dispute. The agent was offered the opportunity to email the manager with specific details regarding the items they wished to dispute; however, the agent declined to provide additional information.",null
39,181,12,null,11/18/2025 7:15:49 PM,11/19/2025 3:43:57 PM,REJECTED,"Hey I have no issue with the score, just confused on whether I got a 99.07% or a 98.95% because the score sheet and final score say two different things",The verified score is 98.95%,null
40,182,25,null,11/18/2025 9:29:09 PM,11/19/2025 6:23:45 PM,ADJUSTED,"Disputing this interaction due to the following scores: 

""Excluding scripting, did the agent use the Knowledge Base correctly?"" - Answer: No 
Dispute: The KB was not needed for this interaction as the customer was calling in to follow up on a request given to the admin. I notified the customer that no updates were available at the time of his call and also informed admin of his call-in. No KB steps could be used in this interaction. 

","The score was adjusted regarding Excluding scripting, did the agent use the Knowledge Base correctly to a yes and Was the classification / subclassification set accurately to a no. The Admin had already completed the subscription updates and assigned the ticket to a tech support rep to provide end-user training to the customer on how to navigate between each of his Soundtrack portals since he has both unlimited and essentials subscriptions for site 002, and they have to be managed separately in the Soundtrack portal. Looks like the Admin nor the CSR updated the Class / Sub – Class. The original score was 92.80%. Score has been updated.",null
41,189,20,null,11/19/2025 3:09:16 PM,11/19/2025 7:03:57 PM,REJECTED,"Excluding scripting, did the agent use the Knowledge Base correctly? 

How can I get everything else if I did this incorrectly? ","The score remains unchanged following the review. The agent should have restated the customer's need once he learned why the customer called in per the Inbound Call Script KB page - http://know.crm.dm-us.com/books/general-support-instructions/page/inbound-call-script, and the agent did advise of the customer portal when he learned the customer's concern was making sure the credit card on file was updated per the How to Add a New Billing Group KB page - http://know.crm.dm-us.com/books/job-billing-customer-service/page/how-to-add-a-new-billing-group. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
42,188,25,null,11/19/2025 3:24:23 PM,11/19/2025 6:56:39 PM,ADJUSTED,"Did the agent use the CRM correctly?	- No - Please advise on how CRM was used incorrectly.

Did the CSR complete CRM actions in a prompt timeframe? - No - Ticket follow up cadence was followed. Customer was contacted via phone call and email the next day per KB. 

",The score was adjusted regarding Did the agent use the CRM correctly and  Did the CSR complete CRM actions in a prompt timeframe. It looks like “No” was selected for these two questions in error. The original score was 90.84%. Score has been updated.,null
43,202,20,null,11/19/2025 8:39:21 PM,11/20/2025 3:15:20 AM,REJECTED,By asking how I can assist I'm essentially asking if this is a new or old issue,"The score remains unchanged following the review. The agent should have determined if this is a new or existing request/issue, and restated the customer's need once he learned why the customer called in per the Inbound Call Script KB page - http://know.crm.dm-us.com/books/general-support-instructions/page/inbound-call-script. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
44,207,21,null,11/20/2025 4:04:51 PM,11/20/2025 9:05:20 PM,REJECTED,I would like this reviewed to see what was missed for the Automated System,"The score remains unchanged following the review. The agent should have selected an option on the auto attendant by the time the menu options were played once. Per the requirements outlined in the Automated Phone System Routing section of the KB page Methods for Making Contact, menu options should not be allowed to repeat without selection - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact. As a result, the required call processes were not fully followed, and the audit score remains as originally assessed.",null
45,210,19,null,11/20/2025 4:48:34 PM,11/21/2025 4:35:56 PM,ADJUSTED,"am disputing this deduction because I was instructed multiple times that only Rick could assist with this issue. I was told that no one else would be able to help me, which is why I did not call the Google number. I clearly documented this in my notes.

In my notes, I stated that I did not call the Google number and provided the reason—that I had been directed to speak only with Rick. The deduction does not reflect the information I entered or the instructions I was given at the time.

For these reasons, I am requesting that this error be reviewed and the points reinstated.","I adjusted the score regarding the agent not calling the Main Contact and Site Contacts, as the task note indicates these are the same as the task contact. I verified this on the customer’s account and, since it was documented—including the reason the Google contact was not called (although that decision was not aligned with expectations)—I also updated the question, ‘Was the task notes field completed properly?’ to Yes.

However, the agent was instructed to call (314) 231-7220 x4445 back if she reached the billing contact’s voicemail so that she could be transferred to Accounting. She did not make a callback attempt, and she also chose not to call the Google contact based on her personal assessment that it would not be useful. This is not consistent with the Methods for Making Contact KB page, specifically the ‘Google Research’ scenario - http://know.crm.dm-us.com/books/job-billing-customer-service/page/methods-for-making-contact. Following these steps is required for proper contact attempts and documentation.

The original score was 58.27%. The score has been updated.",null
46,228,18,null,11/21/2025 3:57:56 PM,11/23/2025 10:42:00 PM,REJECTED,I read the transcripts for both phone calls on this campaign and I matched it with the Invoice Generated campaign script. One for the contact and the other for contact information found in Google. Can you please review?,"The score remains unchanged following the review. While reading the IG Google script the agent left out “and please provide your customer number which is [customer number], so we can provide assistance” per the requirements of the KB page Call Script: Invoice Generated - http://know.crm.dm-us.com/books/job-billing-customer-service/page/call-script-invoice-generated. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
47,236,22,null,11/21/2025 9:20:59 PM,11/23/2025 10:58:18 PM,REJECTED,"Methods of Contact	30%	30%	0.60	1.20	50.0 - i completely did the methods of making contact 100 %

Was the proper script followed when leaving a voicemail/message for the ticket/task contact?	No	0.0	1.0

Was the proper script followed when leaving a voicemail/message for the Google contact?	No	0.0	1.0 -the proper script was followed for google contact and rep did not let me lv message they asked me to call back 

Overall, did the agent miss any Methods of Contact steps?	Yes		
Category Total	2.0	4.0- please let me know what steps were missed after listening to call ","The score remains unchanged following the review. While reading the Task Contact script the agent left out “for being a Dynamic Media customer, and have a nice day!” and while reading the Google Contact script the agent left out  “and if we're unable to reach them, it might cause a disruption in your background music service on (Provide date w/day of week and date ex. ""Tuesday the 30th"")” per the requirements of the KB page Call Script: Declined Credit Card- Final
- http://know.crm.dm-us.com/books/job-billing-customer-service/page/call-script-declined-credit-card-final. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.
",null
48,239,12,null,11/24/2025 1:34:32 PM,11/26/2025 3:08:57 AM,ADJUSTED,"The only person spoken to was Arishne, who is documented in the ticket. Can this please be fixed?",I adjusted the score regarding Was the ticket assigned to the correct user. The customer needed assistance with a reactivation which is a billing responsibility so the ticket was assigned to a Billing rep for assistance which is correct. The original score was 93.92%. Score has been updated.,null
49,231,12,null,11/24/2025 1:47:26 PM,11/25/2025 4:40:56 AM,REJECTED,"This says I did not follow KB, however I followed word for word using http://know.crm.dm-us.com/books/job-tech-support/page/sxbr2-sxbr3-troubleshoot-player-displays-the-artist-and-song-title-but-no-sound-comes-from-the-audio-system

This was properly documented in the notes

Please re-evaluate this ticket","The score remains unchanged following the review. The agent skipped the first script and step of verifying the Amps make and Model per the requirements of the KB page SXBR2 / SXBR3 Troubleshoot - Player displays the artist and song title, but no sound comes from the audio system  - http://know.crm.dm-us.com/books/job-tech-support/page/sxbr2-sxbr3-troubleshoot-player-displays-the-artist-and-song-title-but-no-sound-comes-from-the-audio-system. As a result, required call processes were not fully followed, and the audit score remains as originally assessed.",null
